Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,피어밴드,KT,3.04,26,8,10,0,0,0.444,160,153,20,31,7,132,67,54,1.15,3.04,1,1,20,0,657,2469,0.251,19,4,7,2,0,4,0
2,장원준,두산,3.14,29,14,9,0,0,0.609,180 1/3,172,12,51,14,125,70,63,1.24,3.14,1,1,18,0,760,3006,0.253,26,2,11,5,2,3,0
3,해커,NC,3.42,26,12,7,0,0,0.632,160 1/3,159,14,29,14,97,64,61,1.17,3.42,1,0,15,0,672,2424,0.259,19,2,14,2,1,6,2
4,차우찬,LG,3.43,28,10,7,0,0,0.588,175 2/3,171,20,38,7,157,75,67,1.19,3.43,0,0,16,0,732,2879,0.252,33,4,4,5,0,10,0
5,양현종,KIA,3.44,31,20,6,0,0,0.769,193 1/3,209,17,45,0,158,88,74,1.31,3.44,1,0,20,0,808,3085,0.278,32,2,7,3,0,14,0
6,헥터,KIA,3.48,30,20,5,0,0,0.8,201 2/3,221,21,45,5,149,83,78,1.32,3.48,1,0,23,0,854,3161,0.279,36,4,4,6,1,7,0
7,켈리,SK,3.6,30,16,7,0,0,0.696,190,204,16,45,11,189,85,76,1.31,3.6,0,0,20,0,815,3024,0.272,38,3,5,4,2,9,1
8,박세웅,롯데,3.68,28,12,6,0,0,0.667,171 1/3,170,21,56,9,117,74,70,1.32,3.68,0,0,17,0,725,2812,0.263,25,1,8,5,2,7,0
9,레일리,롯데,3.8,30,13,7,0,0,0.65,187 1/3,199,19,44,17,156,87,79,1.3,3.8,1,0,18,0,798,2951,0.274,39,2,5,5,0,3,1
10,소사,LG,3.88,30,11,11,1,0,0.5,185 1/3,189,11,38,3,153,86,80,1.22,3.88,2,1,16,0,769,2863,0.264,36,9,6,6,0,3,0
11,니퍼트,두산,4.06,30,14,8,0,0,0.636,179 2/3,175,20,77,10,161,88,81,1.4,4.06,0,0,20,0,782,3161,0.257,35,5,11,2,0,13,0
12,박종훈,SK,4.1,29,12,7,0,1,0.632,151 1/3,145,16,61,25,107,74,69,1.36,4.1,0,0,7,0,664,2574,0.254,26,0,5,3,1,4,0
13,팻딘,KIA,4.14,30,9,7,0,0,0.563,176,211,22,39,16,143,86,81,1.42,4.14,1,0,17,0,770,2929,0.304,39,3,15,5,1,3,0
14,윤성환,삼성,4.28,28,12,9,0,0,0.571,174 1/3,181,22,37,15,130,86,83,1.25,4.28,1,0,15,0,731,2810,0.271,39,4,5,6,0,3,0
15,브리검,키움,4.38,24,10,6,0,0,0.625,144,166,17,26,13,98,77,70,1.33,4.38,0,0,14,0,619,2249,0.289,21,4,4,1,0,8,0
16,최원태,키움,4.46,25,11,7,0,0,0.611,149 1/3,161,19,34,12,126,76,74,1.31,4.46,0,0,12,0,637,2350,0.276,24,3,6,2,0,5,1
17,유희관,두산,4.53,30,11,6,0,1,0.647,188 2/3,228,20,41,10,106,104,95,1.43,4.53,2,1,15,0,822,3010,0.304,37,3,13,7,1,5,1
18,로치,KT,4.69,28,4,15,0,0,0.211,165,200,18,60,13,99,106,86,1.58,4.69,1,0,12,0,743,2693,0.304,33,3,7,5,0,10,1
19,문승원,SK,5.33,29,6,12,0,0,0.333,155 1/3,181,25,54,11,86,98,92,1.51,5.33,1,0,12,0,695,2701,0.294,32,2,9,5,1,5,1
,,한화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
