Year,Team,R,H,2B,HR,RBI,BB,SF,OPS
2019,ARI,37.714285714285715,40.38095238095238,13.523809523809524,10.238095238095237,35.95238095238095,25.38095238095238,1.8571428571428572,0.7103333333333335
2019,ATL,41.95,42.6,13.55,12.45,40.5,30.55,1.7,0.73475
2019,BAL,30.333333333333332,37.0,10.5,8.875,29.083333333333332,19.208333333333332,1.5416666666666667,0.6227916666666667
2019,BOS,42.80952380952381,44.57142857142857,16.428571428571427,11.666666666666666,40.76190476190476,28.095238095238095,2.0952380952380953,0.6747619047619048
2019,CHC,34.869565217391305,34.56521739130435,11.434782608695652,11.08695652173913,33.04347826086956,24.695652173913043,1.608695652173913,0.6900869565217392
2019,CIN,29.652173913043477,34.95652173913044,10.0,9.782608695652174,28.956521739130434,20.956521739130434,1.434782608695652,0.7402173913043479
2019,CLE,29.576923076923077,31.76923076923077,11.0,8.576923076923077,28.115384615384617,21.653846153846153,1.7692307692307692,0.628
2019,COL,39.0,42.04761904761905,15.19047619047619,10.666666666666666,37.19047619047619,22.666666666666668,2.0476190476190474,0.696
2019,CWS,32.18181818181818,44.54545454545455,11.818181818181818,8.272727272727273,30.636363636363637,17.181818181818183,1.4545454545454546,0.637818181818182
2019,DET,26.363636363636363,38.5,13.272727272727273,6.7727272727272725,25.272727272727273,17.772727272727273,1.9090909090909092,0.6172272727272727
2019,HOU,43.76190476190476,42.76190476190476,15.380952380952381,13.714285714285714,42.42857142857143,30.666666666666668,2.7142857142857144,0.7757619047619048
2019,KC,28.791666666666668,36.291666666666664,11.708333333333334,6.75,27.25,18.958333333333332,1.75,0.6379583333333334
2019,LAA,27.615384615384617,30.423076923076923,9.538461538461538,7.769230769230769,25.846153846153847,21.23076923076923,1.4615384615384615,0.6022307692307692
2019,LAD,39.5,35.22727272727273,13.409090909090908,12.590909090909092,38.36363636363637,27.0,2.0454545454545454,0.7148181818181819
2019,MIA,24.24,34.96,10.4,5.84,23.28,15.56,1.32,0.6234000000000001
2019,MIL,36.04761904761905,37.76190476190476,12.904761904761905,11.80952380952381,34.76190476190476,29.523809523809526,1.8095238095238095,0.7320952380952381
2019,MIN,46.85,44.95,15.9,15.35,45.3,26.15,2.05,0.78305
2019,NYM,32.083333333333336,36.041666666666664,11.458333333333334,9.833333333333334,31.25,21.041666666666668,1.0833333333333333,0.6122500000000002
2019,NYY,39.25,36.666666666666664,12.083333333333334,12.75,37.625,23.708333333333332,1.375,0.7700416666666668
2019,OAK,36.69565217391305,35.04347826086956,12.695652173913043,11.173913043478262,34.73913043478261,25.08695652173913,1.565217391304348,0.7072173913043478
2019,PHI,30.32,31.52,12.28,8.56,29.24,21.92,1.36,0.61004
2019,PIT,32.08695652173913,41.04347826086956,13.565217391304348,7.043478260869565,30.73913043478261,18.0,1.434782608695652,0.6737391304347825
2019,SD,30.545454545454547,35.86363636363637,10.0,9.954545454545455,29.272727272727273,22.681818181818183,1.4090909090909092,0.6603636363636363
2019,SEA,28.037037037037038,29.037037037037038,9.37037037037037,8.851851851851851,27.037037037037038,21.703703703703702,1.3703703703703705,0.6502962962962963
2019,SF,20.9375,25.5,9.28125,5.15625,20.21875,14.4375,1.3125,0.5693125
2019,STL,35.61904761904762,39.333333333333336,11.333333333333334,10.0,33.38095238095238,26.428571428571427,1.7619047619047619,0.6929523809523809
2019,TB,29.5,34.15384615384615,11.192307692307692,8.307692307692308,28.0,20.807692307692307,1.3076923076923077,0.6876153846153846
2019,TEX,42.63157894736842,43.68421052631579,15.578947368421053,11.736842105263158,40.26315789473684,28.0,2.3157894736842106,0.7176315789473685
2019,TOR,30.166666666666668,31.625,11.25,10.291666666666666,29.041666666666668,21.166666666666668,1.1666666666666667,0.63075
2019,WAS,40.61904761904762,41.23809523809524,14.095238095238095,10.952380952380953,38.38095238095238,27.38095238095238,2.0,0.6986666666666667
