,y_60,y_70
270,839.2897489081482,853.3886396308704
271,905.2685467611475,925.380345442275
272,758.7963908906347,761.0426485068106
273,963.842506286878,982.35918219822
274,838.2365683633273,860.64976389145
275,757.9692230709134,763.4815959392001
276,824.8316851634335,839.2420071194881
277,836.3727834598606,850.6781841750055
278,736.5612714018579,726.3453453040527
279,677.7677783304947,668.8412773982104
280,854.7838762572285,880.2169824999648
281,710.5414475108144,713.3745013347143
282,793.6241911835343,805.3979216517179
283,933.3580756052131,969.4329086656812
284,686.6364923738652,677.7826617181894
285,856.9333121025219,873.1472384469688
286,971.7617362293245,999.5947425445688
287,847.4965513499375,853.77580765625
288,869.562236983515,897.70996833585
289,860.445754253029,885.9225496013778
290,811.3417920765488,829.1124393522889
291,794.0582480800194,791.3698128965707
292,795.35109953247,800.2243101853
293,758.1528511354695,776.5059565743525
294,733.2176888093259,740.7854263759527
295,866.4755078970626,877.7141654060399
296,797.1028917294371,803.2226902747943
297,842.2715210094566,862.9961131065444
298,790.3847601851255,805.6169796904112
299,946.4117052857675,970.23480821666
